Title of Publication,Authors,Year of Publication/Posting for Preprints,Study Design/Method of Analysis (https://research.library.gsu.edu/c.php?g=115595&p=755213),Primary and or Secondary Outcome Variable,General Primary Outcome,Rationale/Main Goal,Published in Special Issue (y/n),"Study Location (City, State, Country)",Country,Implicit/Explicit mention of Health Equity,Buckets A vs Not Bucket A,Notes,,,,,,,,,,,,,,,,,
Neurovirulent vaccine-derived polioviruses in sewage from highly immunepopulations,"Shulman, Lester M; Manor, Yossi; Sofer, Danit; Handsher, Rachel; Swartz, Tiberio; Delpeyroux, Francis; Mendelson, Ella",2006,Report,Presene/absence of Polio virus (VDPVs) in sewage; Phylogenetic analysis of isolated strains,Polio,To identify evolutionary clusters of polio virus VDPVs in the presence of highly immunized population in Israel,No,Israel,Israel,None,Bucket A,Brief discussion of age-related immunity ,,,,,,,,,,,,,,,,,
SARS-CoV-2 concentration in wastewater consistently predicts trends inCOVID-19 case counts by at least two days across multiple WWTP scale,"Swift, Candice L; Isanovic, Mirza; Correa Velez, Karlen E; Norman, R Sean",2023,Cross sectional observational study,Correlation between COVID-19 Case counts and,COVID-19,To identify correlations between SARS-CoV-2 found in influents of wastewater plants and corresponding daily case counts,No,"South Carolina, USA",USA,None,Bucket A,No real discussion of health equity,,,,,,,,,,,,,,,,,
"COVID-19 patients age, comorbidity profiles and clinical presentationrelated to the SARS-CoV-2 UK-variant spread in the Southeast of France","Courjon, Johan; Contenti, Julie; Demonchy, Elisa; Levraut, Jacques; Barbry, Pascal; Rios, Géraldine; Dellamonica, Jean; Chirio, David; Bonnefoy, Caroline; Giordanengo, Valérie; Carles, Michel",2021,Observational study,Sequened SARS-CoV-2 Data from wastewater and,COVID-19,To identify the spread of the SARS-CoV-2 UK variant and correlate with comborditiy profiles/clinical presentation,No,France,France,Implict,Not Bucket A,"Brief discussion of differences by basic demographics (i.e. age, sex, comobrodities) shift towards younger populations with greater social conseuqences",,,,,,,,,,,,,,,,,
"Wastewater-based epidemiology in Beijing, China: Prevalence of antibioticuse in flu season and association of pharmaceuticals and personal careproducts with socioeconomic characteristics","Zhang, Yizhe; Duan, Lei; Wang, Bin; Du, Yulin; Cagnetta, Giovanni; Huang, Jun; Blaney, Lee; Yu, Gang",2019,Observational study,Estimate sewershed population and antibotic consumption,Antibiotics/Resistance,To identify the average per capita consumption of antibiotics and prevalence ofusage during Beijing flu season and evalaute the impact of antibiotic control measures,No,"Beijing, China",China,Implict,Not Bucket A,Brief discussion of associations between antibotic consumption and socioeconomic characteristics,,,,,,,,,,,,,,,,,
Nationwide public perceptions regarding the acceptance of using wastewaterfor community health monitoring in the United States,"LaJoie, A Scott; Holm, Rochelle H; Anderson, Lauren B; Ness, Heather D; Smith, Ted",2022,Survey,80 Item survey using Likert Scale that assessed 1) knowledge of sewer monitoring 2) demographic information 3) privacy concerns surrounding wastewater monitoring,NA,To identify concerns and public perceptions of using wastewater for health monitoring purposes,No,USA,USA,Explicit,Not Bucket A ,"While individuals were not concerned about issues with about the scale of monitoring (i.e. community level data was acceptable) and supported the use of montoriing for environemntal and bioterrorist threaths, individuals did not want personal resisdences to be sampled. This study directly informs",,,,,,,,,,,,,,,,,
Wastewater-based epidemiological surveillance to monitor the prevalence ofSARS-CoV-2 in developing countries with onsite sanitation facilities,"Jakariya; Ahmed, Firoz; Islam, Md Aminul; Al Marzan, Abdullah; Hasan, Mohammad Nayeem; Hossain, Maqsud; Ahmed, Tanvir; Hossain, Ahmed; Reza, Hasan Mahmud; Hossen, Foysal; Nahla, Turasa; Rahman, Mohammad Moshiur; Bahadur, Newaz Mohammed; Islam, Md Tahmidul; Didar-Ul-Alam; Mow, Nowrin; Jahan, Hasin; Barceló, Damiá; Bibby, Kyle; Bhattacharya, Prosun",2022,Surveillence Study,SARS-CoV-2 Wastewater genetic information,COVID-19,To identify optimal locations for rural hotspot based sampling and urban drain based sampling in,No,Bangladesh,Bangladesh,None,Bucket A,Briefly discussed sptial distribution of SARS-CoV-2 genetic materials and identified the potential for community level disease monitroing,,,,,,,,,,,,,,,,,
National Wastewater Reconnaissance of Analgesic Consumption in Australia,"Ahmed, Fahad; Tscharke, Benjamin; O'Brien, Jake W; Hall, Wayne D; Cabot, Peter J; Sowa, P Marcin; Samanipour, Saer; Thomas, Kevin V",2023,Surveillance Study,Analgesic concentration in water,Illicit/Nonillicit Drugs,To leverage wastewater to understand how pain is distributed spatially and by socioeconomic status,No,Australia,Australia,Implicit,Not Bucket A,Briefly discussed which parts of Australia identified greater burdens of pain (i.e. regional and remote sites had a higher concentration of opioid anelgistcs) ( and showed correlations with different socioeconomic descriptors showing that pain affected all socioeconomic groups (None),,,,,,,,,,,,,,,,,
Identification of critical control points for antibiotic resistance discharge in sewers,Alexander J; Norman Hembach N; Schwartz T,2022,Surveillance Study ,Antibiotic resistance gene presence/quantity ,Antibiotics/Resistance,To identify critical points of contamination of wastewater with antibiotics to localize efforts for the prevention of contamination   ,No,Germany,Germany,None,Bucket A,,,,,,,,,,,,,,,,,,
"Dependency of sanitation infrastructure on the discharge of faecalcoliform and SARS-CoV-2 viral RNA in wastewater from COVID and non-COVIDhospitals in Dhaka, Bangladesh","Amin, Nuhu; Haque, Rehnuma; Rahman, Md Ziaur; Rahman, Mohammed Ziaur; Mahmud, Zahid Hayat; Hasan, Rezaul; Islam, Md Tahmidul; Sarker, Protim; Sarker, Supriya; Adnan, Shaikh Daud; Akter, Nargis; Johnston, Dara; Rahman, Mahbubur; Liu, Pengbo; Wang, Yuke; Shirin, Tahmina; Bhattacharya, Prosun",2023,Surveillance Study ,SARS-CoV-2 RNA gene detection in hospital wastewater,COVID-19,To identify the concentration and presence of SARS-CoV-2 and E. coli to evaluate the need for wastewater treatment technoloiges,No,Bangladesh,Bangladesh,None,Bucket A,Briefly identified that hospitals in low-income settings may be sites for outbreak and deserve more monitoring and treatment technology allocation ,,,,,,,,,,,,,,,,,
The use of wastewater analysis in forensic intelligence: drug consumptioncomparison between Sydney and different European cities,"Bannwarth, Anne; Morelato, Marie; Benaglia, Lisa; Been, Frederic; Esseiva, Pierre; Delemont, Olivier; Roux, Claude",2019,Surveillance Study ,Drug and metabolite concentration in wastewater,Illicit/Nonillicit Drugs,To identify differences in drug consumption between sydney and other European cities and leverage it for forensic purposes,No,"Sydney, Australia ",Australia,None,Bucket A,Uses wastwater to identify illicit drug use which could be used to aid law enforcement and does not consider the impacts of that,,Maybe,,,,,,,,,,,,,,,
